country,code,Parent code,change
Burundi,108,910,8.598958023
Comoros,174,910,6.063220051
Djibouti,262,910,1.36469439
Eritrea,232,910,9.726860182
Ethiopia,231,910,9.078936469
Kenya,404,910,6.811586588
Madagascar,450,910,5.555661731
Malawi,454,910,8.839083345
Mauritius,480,910,-8.20901299
Mayotte,175,910,6.342027296
Mozambique,508,910,8.586937434
Réunion,638,910,-6.377983753
Rwanda,646,910,6.860775818
Seychelles,690,910,-7.438063833
Somalia,706,910,7.684328427
South Sudan,728,910,7.678720805
Uganda,800,910,12.6906606
United Republic of Tanzania,834,910,5.931292187
Zambia,894,910,7.071137616
Zimbabwe,716,910,10.47141793
Angola,24,911,6.980531813
Cameroon,120,911,7.268564289
Central African Republic,140,911,10.8621779
Chad,148,911,9.788037383
Congo,178,911,4.826768498
Democratic Republic of the Congo,180,911,8.988125932
Equatorial Guinea,226,911,6.053527645
Gabon,266,911,4.40157915
Sao Tome and Principe,678,911,6.057048725
Botswana,72,913,4.522260158
Eswatini,748,913,9.076127302
Lesotho,426,913,3.577012975
Namibia,516,913,6.201507729
South Africa,710,913,2.012988734
Benin,204,914,6.229311955
Burkina Faso,854,914,7.785523905
Cabo Verde,132,914,-0.147989573
Ivory Coast,384,914,6.030834831
Gambia,270,914,9.232268494
Ghana,288,914,4.382229691
Guinea,324,914,9.204837805
Guinea-Bissau,624,914,8.33036883
Liberia,430,914,6.375357691
Mali,466,914,9.429318035
Mauritania,478,914,4.881906105
Niger,562,914,8.433763445
Nigeria,566,914,6.88726206
Senegal,686,914,7.335590751
Sierra Leone,694,914,9.130530814
Togo,768,914,5.861561002
Algeria,12,912,0.22444366
Egypt,818,912,2.968422915
Libya,434,912,-2.807352453
Morocco,504,912,-2.030357323
Sudan,729,912,6.264311765
Tunisia,788,912,-4.746029547
Western Sahara,732,912,-0.862594939
Armenia,51,922,-5.036146712
Azerbaijan,31,922,-4.152344159
Bahrain,48,922,-5.213870573
Cyprus,196,922,-7.780483124
Georgia,268,922,-4.037746604
Iraq,368,922,5.412484747
Israel,376,922,0.331503075
Jordan,400,922,3.625545856
Kuwait,414,922,-12.61433409
Lebanon,422,922,-4.408324495
Oman,512,922,-3.678326042
Qatar,634,922,-9.517749747
